,loss_history_val,loss_history_train
0,1.6444033096185469,1.6045054777562664
1,1.6123842252629856,1.5751172983704564
2,1.5919722167528656,1.5532056529491733
3,1.570180913928869,1.5332064603745295
4,1.549396551877006,1.5119671368652225
5,1.5305261748437724,1.4943829209424895
6,1.516740178258218,1.4803782772476548
7,1.4858789668243169,1.4506625999279406
8,1.4719090779960375,1.4369139590330984
9,1.4567326333193833,1.4220836858608057
10,1.4438502704795744,1.4098772186356445
11,1.434337134780171,1.40031792813871
12,1.4118446446273991,1.3792430204915895
13,1.4029636689691807,1.369852961365812
14,1.3910356120593506,1.3591713244624553
15,1.383107206517501,1.3506517065340122
16,1.3714209367518821,1.3407342012686871
17,1.3657588646106391,1.334371385042118
18,1.3534615856564405,1.3226601394832729
19,1.3207493551425848,1.2913157168760256
20,1.3020683113582368,1.276162200071805
21,1.298021997862554,1.2708056438733002
22,1.2943648901173466,1.2660482617749218
23,1.286303287380783,1.260606689061835
24,1.2835497209454492,1.2563159733792044
25,1.2754128574261943,1.249306518657898
26,1.269944368582688,1.2420023510021556
27,1.2631888594989726,1.2372900948225225
28,1.2573804445428818,1.2320969442433205
29,1.2444993790871497,1.2185888183884857
30,1.2386907590364622,1.215353305976085
31,1.2376352418317718,1.2122106521227776
32,1.2339056541571434,1.2098399818168644
33,1.2293526657151386,1.2058633286489504
34,1.2199417259422203,1.195492250262205
35,1.2146521202898373,1.192736750621
36,1.2138655711712665,1.190068353604702
37,1.2091664147882057,1.1876225942742948
38,1.2083471666108836,1.185674437607814
39,1.2023921936849515,1.181242014200212
40,1.2016623353516798,1.179235670000616
41,1.1951485747276012,1.1751302187022732
42,1.194475815274268,1.1731275398594405
43,1.1922178324980253,1.1703905156105585
44,1.183254390346178,1.1649390762752896
45,1.1818970723614428,1.161723171109814
46,1.1812816238655133,1.15962222180743
47,1.178021424043274,1.1578364664415477
48,1.177046164129187,1.154553648615998
49,1.1727261835094567,1.1521259339523489
50,1.1695065398547744,1.14956551364438
51,1.1663762440581933,1.144075695479128
52,1.1617856194083536,1.1413742627813055
53,1.1584205538001737,1.139413671631083
54,1.158033165803534,1.1378080928561174
55,1.154417718595768,1.135728068881818
56,1.154379640801206,1.1340389704569547
57,1.1516465271728429,1.1326027549813815
58,1.1501411322923725,1.1295158449518465
59,1.147697969483434,1.1282181260865671
60,1.145029805664754,1.1262238487851806
61,1.1432014155797212,1.1220206460740925
62,1.1394265360174647,1.1198575981951646
63,1.1363305225674805,1.118273550556209
64,1.136147105493898,1.1169393102071614
65,1.1312083461524496,1.1142234407682827
66,1.1310803330203463,1.112656326277636
67,1.1295481178206024,1.11071335696808
68,1.1226131893647306,1.1064196736842355
69,1.1222402759831767,1.1044617503146963
70,1.121851938329386,1.1029394843877227
71,1.1194451319775782,1.1016919208029243
72,1.1192986719817002,1.0993169346159162
73,1.1156744717139426,1.0975056477425258
74,1.1134528328359543,1.0955999073206304
75,1.1096240710471619,1.090491170555482
76,1.1075442934989974,1.0894587766645851
77,1.105387480422321,1.087943356618425
78,1.1048717554715901,1.084969214622197
79,1.1014818873154042,1.0831066432654883
80,1.0987730289623368,1.0818781587144877
81,1.098840098292554,1.080823344482586
82,1.094804091587229,1.0787009591315455
83,1.0948656599396438,1.0775162892943808
